"","type","date","country","total_cases"
"138","death",2020-01-28,"Japan",0
"139","death",2020-01-28,"Spain",0
"140","death",2020-01-28,"US",0
"141","recovered",2020-01-28,"Australia",0
"142","recovered",2020-01-28,"Belgium",0
"143","recovered",2020-01-28,"China",43
"144","recovered",2020-01-28,"Italy",0
"145","recovered",2020-01-28,"Japan",0
"146","recovered",2020-01-28,"Spain",0
"147","recovered",2020-01-28,"US",0
"148","confirmed",2020-01-29,"Australia",1
"149","confirmed",2020-01-29,"Belgium",0
"150","confirmed",2020-01-29,"China",578
"151","confirmed",2020-01-29,"Italy",0
"152","confirmed",2020-01-29,"Japan",0
"153","confirmed",2020-01-29,"Spain",0
"154","confirmed",2020-01-29,"US",0
"155","death",2020-01-29,"Australia",0
"156","death",2020-01-29,"Belgium",0
"157","death",2020-01-29,"China",2
"158","death",2020-01-29,"Italy",0
"159","death",2020-01-29,"Japan",0
"160","death",2020-01-29,"Spain",0
"161","death",2020-01-29,"US",0
"162","recovered",2020-01-29,"Australia",0
"163","recovered",2020-01-29,"Belgium",0
"164","recovered",2020-01-29,"China",19
"165","recovered",2020-01-29,"Italy",0
"166","recovered",2020-01-29,"Japan",0
"167","recovered",2020-01-29,"Spain",0
"168","recovered",2020-01-29,"US",0
"169","confirmed",2020-01-30,"Australia",3
"170","confirmed",2020-01-30,"Belgium",0
"171","confirmed",2020-01-30,"China",2054
"172","confirmed",2020-01-30,"Italy",0
"173","confirmed",2020-01-30,"Japan",4
"174","confirmed",2020-01-30,"Spain",0
"175","confirmed",2020-01-30,"US",0
"176","death",2020-01-30,"Australia",0
"177","death",2020-01-30,"Belgium",0
"178","death",2020-01-30,"China",38
"179","death",2020-01-30,"Italy",0
"180","death",2020-01-30,"Japan",0
"181","death",2020-01-30,"Spain",0
"182","death",2020-01-30,"US",0
"183","recovered",2020-01-30,"Australia",2
"184","recovered",2020-01-30,"Belgium",0
"185","recovered",2020-01-30,"China",15
"186","recovered",2020-01-30,"Italy",0
"187","recovered",2020-01-30,"Japan",0
"188","recovered",2020-01-30,"Spain",0
"189","recovered",2020-01-30,"US",0
"190","confirmed",2020-01-31,"Australia",0
"191","confirmed",2020-01-31,"Belgium",0
"192","confirmed",2020-01-31,"China",1661
"193","confirmed",2020-01-31,"Italy",2
"194","confirmed",2020-01-31,"Japan",4
"195","confirmed",2020-01-31,"Spain",0
"196","confirmed",2020-01-31,"US",2
"197","death",2020-01-31,"Australia",0
"198","death",2020-01-31,"Belgium",0
"199","death",2020-01-31,"China",42
"200","death",2020-01-31,"Italy",0
"201","death",2020-01-31,"Japan",0
"202","death",2020-01-31,"Spain",0
"203","death",2020-01-31,"US",0
"204","recovered",2020-01-31,"Australia",0
"205","recovered",2020-01-31,"Belgium",0
"206","recovered",2020-01-31,"China",79
"207","recovered",2020-01-31,"Italy",0
"208","recovered",2020-01-31,"Japan",0
"209","recovered",2020-01-31,"Spain",0
"210","recovered",2020-01-31,"US",0
"211","confirmed",2020-02-01,"Australia",3
"212","confirmed",2020-02-01,"Belgium",0
"213","confirmed",2020-02-01,"China",2089
"214","confirmed",2020-02-01,"Italy",0
"215","confirmed",2020-02-01,"Japan",5
"216","confirmed",2020-02-01,"Spain",1
"217","confirmed",2020-02-01,"US",1
"218","death",2020-02-01,"Australia",0
"219","death",2020-02-01,"Belgium",0
"220","death",2020-02-01,"China",46
"221","death",2020-02-01,"Italy",0
"222","death",2020-02-01,"Japan",0
"223","death",2020-02-01,"Spain",0
"224","death",2020-02-01,"US",0
"225","recovered",2020-02-01,"Australia",0
"226","recovered",2020-02-01,"Belgium",0
"227","recovered",2020-02-01,"China",61
"228","recovered",2020-02-01,"Italy",0
"229","recovered",2020-02-01,"Japan",0
"230","recovered",2020-02-01,"Spain",0
"231","recovered",2020-02-01,"US",0
"232","confirmed",2020-02-02,"Australia",0
"233","confirmed",2020-02-02,"Belgium",0
"234","confirmed",2020-02-02,"China",4739
"235","confirmed",2020-02-02,"Italy",0
"236","confirmed",2020-02-02,"Japan",0
"237","confirmed",2020-02-02,"Spain",0
"238","confirmed",2020-02-02,"US",0
"239","death",2020-02-02,"Australia",0
"240","death",2020-02-02,"Belgium",0
"241","death",2020-02-02,"China",102
"242","death",2020-02-02,"Italy",0
"243","death",2020-02-02,"Japan",0
"244","death",2020-02-02,"Spain",0
"245","death",2020-02-02,"US",0
"246","recovered",2020-02-02,"Australia",0
"247","recovered",2020-02-02,"Belgium",0
"248","recovered",2020-02-02,"China",188
"249","recovered",2020-02-02,"Italy",0
"250","recovered",2020-02-02,"Japan",0
"251","recovered",2020-02-02,"Spain",0
"252","recovered",2020-02-02,"US",0
"253","confirmed",2020-02-03,"Australia",0
"254","confirmed",2020-02-03,"Belgium",0
"255","confirmed",2020-02-03,"China",3086
"256","confirmed",2020-02-03,"Italy",0
"257","confirmed",2020-02-03,"Japan",0
"258","confirmed",2020-02-03,"Spain",0
"259","confirmed",2020-02-03,"US",3
"260","death",2020-02-03,"Australia",0
"261","death",2020-02-03,"Belgium",0
"262","death",2020-02-03,"China",64
"263","death",2020-02-03,"Italy",0
"264","death",2020-02-03,"Japan",0
"265","death",2020-02-03,"Spain",0
"266","death",2020-02-03,"US",0
"267","recovered",2020-02-03,"Australia",0
"268","recovered",2020-02-03,"Belgium",0
"269","recovered",2020-02-03,"China",151
"270","recovered",2020-02-03,"Italy",0
"271","recovered",2020-02-03,"Japan",0
"272","recovered",2020-02-03,"Spain",0
"273","recovered",2020-02-03,"US",0
"274","confirmed",2020-02-04,"Australia",1
"275","confirmed",2020-02-04,"Belgium",1
"276","confirmed",2020-02-04,"China",3991
"277","confirmed",2020-02-04,"Italy",0
"278","confirmed",2020-02-04,"Japan",2
"279","confirmed",2020-02-04,"Spain",0
"280","confirmed",2020-02-04,"US",0
"281","death",2020-02-04,"Australia",0
"282","death",2020-02-04,"Belgium",0
"283","death",2020-02-04,"China",66
"284","death",2020-02-04,"Italy",0
"285","death",2020-02-04,"Japan",0
"286","death",2020-02-04,"Spain",0
"287","death",2020-02-04,"US",0
"288","recovered",2020-02-04,"Australia",0
"289","recovered",2020-02-04,"Belgium",0
"290","recovered",2020-02-04,"China",229
"291","recovered",2020-02-04,"Italy",0
