"","type","date","country","cases","province","long","lat"
"76","confirmed",2020-01-23,"China",3,"Chongqing",107.874,30.0572
"77","confirmed",2020-01-23,"China",3,"Guangxi",108.7881,23.8298
"78","confirmed",2020-01-23,"China",3,"Shaanxi",108.8701,35.1917
"79","confirmed",2020-01-23,"China",3,"Sichuan",102.7103,30.6171
"80","confirmed",2020-01-23,"China",4,"Fujian",117.9874,26.0789
"81","confirmed",2020-01-23,"China",4,"Jiangsu",119.455,32.9711
"82","confirmed",2020-01-23,"China",4,"Shandong",118.1498,36.3427
"83","confirmed",2020-01-23,"China",5,"Hunan",111.7088,27.6104
"84","confirmed",2020-01-23,"China",5,"Jiangxi",115.7221,27.614
"85","confirmed",2020-01-23,"China",6,"Guangdong",113.4244,23.3417
"86","confirmed",2020-01-23,"China",7,"Shanghai",121.4491,31.202
"87","confirmed",2020-01-23,"China",8,"Anhui",117.2264,31.8257
"88","confirmed",2020-01-23,"China",8,"Beijing",116.4142,40.1824
"89","confirmed",2020-01-23,"China",17,"Zhejiang",120.0934,29.1832
"90","confirmed",2020-01-23,"Germany",0,"",10.451526,51.165691
"91","confirmed",2020-01-23,"Italy",0,"",12.56738,41.87194
"92","confirmed",2020-01-23,"Japan",0,"",138.252924,36.204824
"93","confirmed",2020-01-23,"Spain",0,"",-3.74922,40.463667
"94","confirmed",2020-01-23,"US",0,"",-100,40
"95","confirmed",2020-01-24,"Australia",0,"Australian Capital Territory",149.0124,-35.4735
"96","confirmed",2020-01-24,"Australia",0,"New South Wales",151.2093,-33.8688
"97","confirmed",2020-01-24,"Australia",0,"Northern Territory",130.8456,-12.4634
"98","confirmed",2020-01-24,"Australia",0,"Queensland",153.0251,-27.4698
"99","confirmed",2020-01-24,"Australia",0,"South Australia",138.6007,-34.9285
"100","confirmed",2020-01-24,"Australia",0,"Tasmania",147.3272,-42.8821
"101","confirmed",2020-01-24,"Australia",0,"Victoria",144.9631,-37.8136
"102","confirmed",2020-01-24,"Australia",0,"Western Australia",115.8605,-31.9505
"103","confirmed",2020-01-24,"Belgium",0,"",4.469936,50.8333
"104","confirmed",2020-01-24,"China",0,"Gansu",104.2861,35.7518
"105","confirmed",2020-01-24,"China",0,"Guizhou",106.8748,26.8154
"106","confirmed",2020-01-24,"China",0,"Hong Kong",114.2,22.3
"107","confirmed",2020-01-24,"China",0,"Macau",113.55,22.1667
"108","confirmed",2020-01-24,"China",0,"Qinghai",95.9956,35.7452
"109","confirmed",2020-01-24,"China",0,"Shanxi",112.2922,37.5777
"110","confirmed",2020-01-24,"China",0,"Tibet",88.0924,31.6927
"111","confirmed",2020-01-24,"China",0,"Xinjiang",85.2401,41.1129
"112","confirmed",2020-01-24,"China",1,"Hebei",116.1306,39.549
"113","confirmed",2020-01-24,"China",1,"Inner Mongolia",113.9448,44.0935
"114","confirmed",2020-01-24,"China",1,"Liaoning",122.6085,41.2956
"115","confirmed",2020-01-24,"China",1,"Ningxia",106.1655,37.2692
"116","confirmed",2020-01-24,"China",2,"Heilongjiang",127.7615,47.862
"117","confirmed",2020-01-24,"China",2,"Jilin",126.1923,43.6661
"118","confirmed",2020-01-24,"China",2,"Shaanxi",108.8701,35.1917
"119","confirmed",2020-01-24,"China",3,"Hainan",109.7453,19.1959
"120","confirmed",2020-01-24,"China",3,"Yunnan",101.487,24.974
"121","confirmed",2020-01-24,"China",4,"Henan",114.9042,37.8957
"122","confirmed",2020-01-24,"China",4,"Jiangsu",119.455,32.9711
"123","confirmed",2020-01-24,"China",4,"Shanghai",121.4491,31.202
"124","confirmed",2020-01-24,"China",4,"Tianjin",117.323,39.3054
"125","confirmed",2020-01-24,"China",5,"Fujian",117.9874,26.0789
"126","confirmed",2020-01-24,"China",6,"Anhui",117.2264,31.8257
"127","confirmed",2020-01-24,"China",7,"Sichuan",102.7103,30.6171
"128","confirmed",2020-01-24,"China",9,"Shandong",118.1498,36.3427
"129","confirmed",2020-01-24,"China",11,"Jiangxi",115.7221,27.614
"130","confirmed",2020-01-24,"China",14,"Beijing",116.4142,40.1824
"131","confirmed",2020-01-24,"China",15,"Hunan",111.7088,27.6104
"132","confirmed",2020-01-24,"China",16,"Zhejiang",120.0934,29.1832
"133","confirmed",2020-01-24,"China",18,"Chongqing",107.874,30.0572
"134","confirmed",2020-01-24,"China",18,"Guangxi",108.7881,23.8298
"135","confirmed",2020-01-24,"China",21,"Guangdong",113.4244,23.3417
"136","confirmed",2020-01-24,"China",105,"Hubei",112.2707,30.9756
"137","confirmed",2020-01-24,"Germany",0,"",10.451526,51.165691
"138","confirmed",2020-01-24,"Italy",0,"",12.56738,41.87194
"139","confirmed",2020-01-24,"Japan",0,"",138.252924,36.204824
"140","confirmed",2020-01-24,"Spain",0,"",-3.74922,40.463667
"141","confirmed",2020-01-24,"US",1,"",-100,40
"142","confirmed",2020-01-25,"Australia",0,"Australian Capital Territory",149.0124,-35.4735
"143","confirmed",2020-01-25,"Australia",0,"New South Wales",151.2093,-33.8688
"144","confirmed",2020-01-25,"Australia",0,"Northern Territory",130.8456,-12.4634
"145","confirmed",2020-01-25,"Australia",0,"Queensland",153.0251,-27.4698
"146","confirmed",2020-01-25,"Australia",0,"South Australia",138.6007,-34.9285
"147","confirmed",2020-01-25,"Australia",0,"Tasmania",147.3272,-42.8821
"148","confirmed",2020-01-25,"Australia",0,"Victoria",144.9631,-37.8136
"149","confirmed",2020-01-25,"Australia",0,"Western Australia",115.8605,-31.9505
"150","confirmed",2020-01-25,"Belgium",0,"",4.469936,50.8333
"151","confirmed",2020-01-25,"China",0,"Guangxi",108.7881,23.8298
"152","confirmed",2020-01-25,"China",0,"Jiangxi",115.7221,27.614
"153","confirmed",2020-01-25,"China",0,"Macau",113.55,22.1667
"154","confirmed",2020-01-25,"China",0,"Tibet",88.0924,31.6927
"155","confirmed",2020-01-25,"China",1,"Guizhou",106.8748,26.8154
"156","confirmed",2020-01-25,"China",1,"Jilin",126.1923,43.6661
"157","confirmed",2020-01-25,"China",1,"Ningxia",106.1655,37.2692
"158","confirmed",2020-01-25,"China",1,"Qinghai",95.9956,35.7452
"159","confirmed",2020-01-25,"China",1,"Xinjiang",85.2401,41.1129
"160","confirmed",2020-01-25,"China",2,"Gansu",104.2861,35.7518
"161","confirmed",2020-01-25,"China",2,"Tianjin",117.323,39.3054
"162","confirmed",2020-01-25,"China",3,"Hong Kong",114.2,22.3
"163","confirmed",2020-01-25,"China",5,"Beijing",116.4142,40.1824
"164","confirmed",2020-01-25,"China",5,"Heilongjiang",127.7615,47.862
"165","confirmed",2020-01-25,"China",5,"Shanxi",112.2922,37.5777
"166","confirmed",2020-01-25,"China",6,"Hebei",116.1306,39.549
"167","confirmed",2020-01-25,"China",6,"Inner Mongolia",113.9448,44.0935
"168","confirmed",2020-01-25,"China",6,"Yunnan",101.487,24.974
"169","confirmed",2020-01-25,"China",8,"Fujian",117.9874,26.0789
"170","confirmed",2020-01-25,"China",9,"Jiangsu",119.455,32.9711
"171","confirmed",2020-01-25,"China",10,"Shaanxi",108.8701,35.1917
"172","confirmed",2020-01-25,"China",11,"Hainan",109.7453,19.1959
"173","confirmed",2020-01-25,"China",12,"Shandong",118.1498,36.3427
"174","confirmed",2020-01-25,"China",13,"Liaoning",122.6085,41.2956
"175","confirmed",2020-01-25,"China",13,"Shanghai",121.4491,31.202
"176","confirmed",2020-01-25,"China",13,"Sichuan",102.7103,30.6171
"177","confirmed",2020-01-25,"China",19,"Hunan",111.7088,27.6104
"178","confirmed",2020-01-25,"China",19,"Zhejiang",120.0934,29.1832
"179","confirmed",2020-01-25,"China",23,"Henan",114.9042,37.8957
"180","confirmed",2020-01-25,"China",24,"Anhui",117.2264,31.8257
"181","confirmed",2020-01-25,"China",25,"Guangdong",113.4244,23.3417
"182","confirmed",2020-01-25,"China",30,"Chongqing",107.874,30.0572
"183","confirmed",2020-01-25,"China",212,"Hubei",112.2707,30.9756
"184","confirmed",2020-01-25,"Germany",0,"",10.451526,51.165691
"185","confirmed",2020-01-25,"Italy",0,"",12.56738,41.87194
"186","confirmed",2020-01-25,"Japan",0,"",138.252924,36.204824
"187","confirmed",2020-01-25,"Spain",0,"",-3.74922,40.463667
"188","confirmed",2020-01-25,"US",0,"",-100,40
"189","confirmed",2020-01-26,"Australia",0,"Australian Capital Territory",149.0124,-35.4735
"190","confirmed",2020-01-26,"Australia",0,"Northern Territory",130.8456,-12.4634
"191","confirmed",2020-01-26,"Australia",0,"Queensland",153.0251,-27.4698
"192","confirmed",2020-01-26,"Australia",0,"South Australia",138.6007,-34.9285
"193","confirmed",2020-01-26,"Australia",0,"Tasmania",147.3272,-42.8821
